"","Substrate","Species","mz"
"492","C99","Ab3_27pE",2931.13149808312
"493","C99","Ab3_28pE",3059.28931103669
"494","C99","Ab3_29pE",3116.3270154952
"495","C99","Ab3_30pE",3187.41784177625
"496","C99","Ab3_31pE",3300.55692874379
"497","C99","Ab3_32pE",3413.70287386514
"498","C99","Ab3_33pE",3470.77946087328
"499","C99","Ab3_34pE",3583.93284007451
"500","C99","Ab3_35pE",3715.16780020624
"501","C99","Ab3_36pE",3814.27892449031
"502","C99","Ab3_37pE",3871.32757832881
"503","C99","Ab3_38pE",3928.38001053371
"504","C99","Ab3_39pE",4027.50282066057
"505","C99","Ab3_40pE",4126.66374153071
"506","C99","Ab3_41pE",4239.83209256471
"507","C99","Ab3_42pE",4310.86100298968
"508","C99","Ab3_43pE",4411.96579093054
"509","C99","Ab3_44pE",4511.12321720746
"510","C99","Ab3_45pE",4624.24384510266
"511","C99","Ab3_46pE",4723.41584077103
"512","C99","Ab3_47pE",4836.55918818105
"513","C99","Ab3_48pE",4937.66924248307
"514","C99","Ab3_49pE",5050.83828377176
"515","C99","Ab4_23pE",2444.63505166918
"516","C99","Ab4_24pE",2543.7656231724
"517","C99","Ab4_25pE",2600.81535181032
"518","C99","Ab4_26pE",2687.91130679731
"519","C99","Ab4_27pE",2802.00350510794
"520","C99","Ab4_28pE",2930.19338767372
"521","C99","Ab4_29pE",2987.22648388411
"522","C99","Ab4_30pE",3058.27077587241
"523","C99","Ab4_31pE",3171.48954082923
"524","C99","Ab4_32pE",3284.59099978456
"525","C99","Ab4_33pE",3341.66781884428
"526","C99","Ab4_34pE",3454.82702594628
"527","C99","Ab4_35pE",3586.0456168044
"528","C99","Ab4_36pE",3685.13725485528
"529","C99","Ab4_37pE",3742.21384387084
"530","C99","Ab4_38pE",3799.25450011839
"531","C99","Ab4_39pE",3898.3882011215
"532","C99","Ab4_40pE",3997.50886856973
"533","C99","Ab4_41pE",4110.69539551273
"534","C99","Ab4_42pE",4181.7604175192
"535","C99","Ab4_43pE",4282.8960071825
"536","C99","Ab4_44pE",4382.01435508504
"537","C99","Ab4_45pE",4495.1563748463
"538","C99","Ab4_46pE",4594.29921680688
"539","C99","Ab4_47pE",4707.42883639722
"540","C99","Ab4_48pE",4808.53473982199
"541","C99","Ab4_49pE",4921.6937954847
"542","C99","Ab5_23pE",2297.47634537338
"543","C99","Ab5_24pE",2396.58982352941
"544","C99","Ab5_25pE",2453.65240361248
"545","C99","Ab5_26pE",2540.73638394035
"546","C99","Ab5_27pE",2654.83192518101
"547","C99","Ab5_28pE",2783.00725461938
"548","C99","Ab5_29pE",2840.05421128382
"549","C99","Ab5_30pE",2911.15058576534
"550","C99","Ab5_31pE",3024.28783962841
"551","C99","Ab5_32pE",3137.48071061497
"552","C99","Ab5_33pE",3194.50667859918
"553","C99","Ab5_34pE",3307.65122677611
"554","C99","Ab5_35pE",3438.88044186771
"555","C99","Ab5_36pE",3538.02603853986
"556","C99","Ab5_37pE",3595.03282982721
"557","C99","Ab5_38pE",3652.09125267128
"558","C99","Ab5_39pE",3751.225816
"559","C99","Ab5_40pE",3850.3510162661
"560","C99","Ab5_41pE",3963.52653712613
"561","C99","Ab5_42pE",4034.59666687267
"562","C99","Ab5_43pE",4135.69272733785
"563","C99","Ab5_44pE",4234.81666606615
"564","C99","Ab5_45pE",4347.95757627518
"565","C99","Ab5_46pE",4447.10959281589
"566","C99","Ab5_47pE",4560.25796792935
"567","C99","Ab5_48pE",4661.37759345273
"568","C99","Ab5_49pE",4774.56881505231
"569","C99","Ab11_23pE",1581.77047609702
"570","C99","Ab11_24pE",1680.87047762216
"571","C99","Ab11_25pE",1737.91849711306
"572","C99","Ab11_26pE",1825.00748757102
"573","C99","Ab11_27pE",1939.10514326748
"574","C99","Ab11_28pE",2067.29694515737
"575","C99","Ab11_29pE",2124.31238188767
"576","C99","Ab11_30pE",2195.41464598705
"577","C99","Ab11_31pE",2308.5920289072
"578","C99","Ab11_32pE",2421.70093254965
"579","C99","Ab11_33pE",2478.77902088343
"580","C99","Ab11_34pE",2591.96506964014
"581","C99","Ab11_35pE",2723.14636610383
"582","C99","Ab11_36pE",2822.26677456581
"583","C99","Ab11_37pE",2879.28265864462
"584","C99","Ab11_38pE",2936.40295894428
"585","C99","Ab11_39pE",3035.51716347884
"586","C99","Ab11_40pE",3134.65558874295
"587","C99","Ab11_41pE",3247.78732878855
"588","C99","Ab11_42pE",3318.85920816358
"589","C99","Ab11_43pE",3419.96521697017
"590","C99","Ab11_44pE",3519.08947708223
"591","C99","Ab11_45pE",3632.27736052149
"592","C99","Ab11_46pE",3731.37302295821
"593","C99","Ab11_47pE",3844.55485608713
"594","C99","Ab11_48pE",3945.64863167542
"595","C99","Ab11_49pE",4058.83824725549
"596","C99","Ab17_23pE",822.915112277276
"597","C99","Ab17_24pE",922.068966304164
"598","C99","Ab17_25pE",979.104892485037
"599","C99","Ab17_26pE",1066.19360560708
"600","C99","Ab17_27pE",1180.29191334755
"601","C99","Ab17_28pE",1308.46184973802
"602","C99","Ab17_29pE",1365.52027641802
"603","C99","Ab17_30pE",1436.59458592764
"604","C99","Ab17_31pE",1549.74893075769
"605","C99","Ab17_32pE",1662.91083086681
"606","C99","Ab17_33pE",1719.96255282338
"607","C99","Ab17_34pE",1833.12734876944
"608","C99","Ab17_35pE",1964.31415745343
"609","C99","Ab17_36pE",2063.44060527729
"610","C99","Ab17_37pE",2120.49286602713
"611","C99","Ab17_38pE",2177.55046489143
"612","C99","Ab17_39pE",2276.70091804979
"613","C99","Ab17_40pE",2375.81753204442
"614","C99","Ab17_41pE",2489.0041407918
"615","C99","Ab17_42pE",2560.06916581525
"616","C99","Ab17_43pE",2661.1407526751
"617","C99","Ab17_44pE",2760.26703042803
